variant,roc_auc,average_precision,best_threshold,precision,recall,f1,predicted_positive_rate,precision_at_1pct,precision_at_5pct,precision_at_10pct,mean_score_normal,mean_score_anomaly,effect_size_cohen_d
no_generative,0.8010130451440504,0.7333902091224774,0.42087790199238995,0.9216159496327387,0.5341807565989539,0.6763437548128755,0.13328112107184314,1.0,1.0,0.9918892462592644,0.1702038854239877,0.44053611194535913,1.4651435027595505
no_ontology,0.8002188893877784,0.7332440677076366,0.6245589622005177,0.9052685421994885,0.538194866804525,0.6750581683640386,0.1367075507321371,1.0,0.9997203579418344,0.996084463711369,0.2668646657840681,0.660800855568696,1.4883557686835374
detector_only,0.8002188893877784,0.7332440677076366,0.6245589622005177,0.9052685421994885,0.538194866804525,0.6750581683640386,0.1367075507321371,1.0,0.9997203579418344,0.996084463711369,0.2668646657840681,0.660800855568696,1.4883557686835374
vae_replacement_slot,0.8009840507508386,0.7332218775565945,0.4120258704961325,0.9216159496327387,0.5341807565989539,0.6763437548128755,0.13328112107184314,1.0,1.0,0.9909103621871067,0.16657820813369792,0.43227390208078303,1.4617620966880343
full_model_conservative,0.800971955486041,0.7331715344152012,0.40845762602314845,0.9216159496327387,0.5341807565989539,0.6763437548128755,0.13328112107184314,1.0,1.0,0.9904908404418963,0.16511505636965826,0.42893966520024307,1.4603056769699627
ontology_only,0.6578324121023686,0.5185079782615722,0.07317073170731707,0.5610821866865006,0.36704780440335727,0.4437826310758144,0.15042725480049787,0.9986033519553073,0.9348434004474273,0.6965459376311005,0.02518227012966993,0.11006019681897344,0.7358379320878025
generative_only,0.5,0.12497262007221613,0.0,0.2299483937736878,1.0,0.37391551537893003,1.0,0.0,0.0,0.0,0.0,0.0,
