variant,label,count,mean,std,median,p10,p90,min,max
detector_only,0,55061,0.2668646657840681,0.11514422837940373,0.2473191473183629,0.1538203713083109,0.3946933248260568,0.0,0.9996418227429812
detector_only,1,16442,0.660800855568696,0.3561510416645862,0.9124706028172228,0.20378491792627634,0.999835302753167,0.0,1.0
generative_only,0,55061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generative_only,1,16442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_ontology,0,55061,0.24017819920566127,0.10362980554146337,0.2225872325865266,0.1384383341774798,0.3552239923434511,0.0,0.899677640468683
no_ontology,1,16442,0.5947207700118264,0.32053593749812764,0.8212235425355006,0.1834064261336487,0.8998517724778503,0.0,0.9
