variant,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high,best_threshold,precision,recall,specificity,f1,balanced_accuracy,predicted_positive_rate,score_mean,score_std,score_min,score_max
detector_only,0.8002188893877784,0.7956975994470612,0.8054238482686575,0.7332429325476619,0.7278964109698259,0.7385319642784794,0.6438157694507454,0.9120480679581477,0.5354579734825448,0.984580737727248,0.674765280705116,0.7600193556048964,0.13500132861558256,0.35744965987436994,0.2585653365213563,0.0,1.0
no_ontology,0.8002188893877784,0.7964878544971682,0.8048000699490138,0.7332429325476619,0.7273664339430905,0.7385310075089,0.5794341925056709,0.9120480679581477,0.5354579734825448,0.984580737727248,0.674765280705116,0.7600193556048964,0.13500132861558256,0.3217046938869329,0.23270880286922074,0.0,0.9
generative_only,0.5,0.5,0.5,0.2299483937736878,0.2267890857726249,0.23303148119659314,0.0,0.2299483937736878,1.0,0.0,0.37391551537893003,0.5,1.0,0.0,0.0,0.0,0.0
