variant,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,test_f1,test_precision,test_recall
ontology_only_real,0.7881,0.7743,0.8015,0.5422,0.6349,0.5936,0.6824
legacy_baseline,0.7358,0.7197,0.7511,0.5429,0.5928,0.6294,0.5603
detector_only_full,0.4525,0.4357,0.4702,0.1904,0.3608,0.2205,0.9927
combined_real_without_sgen,0.7036,0.6866,0.7201,0.4039,0.4596,0.3909,0.5574
