w_det,w_ont,w_gen,roc_auc,average_precision,threshold,precision,recall,f1,predicted_positive_rate
1.0,0.0,0.0,0.8021388152469646,0.7355130399450901,0.6939567594771952,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.5,0.0,0.5,0.8021388152469646,0.7355130399450901,0.3469783797385976,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.6666666666666666,0.0,0.3333333333333333,0.8021388152469646,0.7355130399450901,0.46263783965146343,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.7499999999999999,0.0,0.25,0.8021388152469646,0.7355130399450901,0.5204675696078963,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.8,0.0,0.2,0.8021388152469646,0.7355130399450901,0.5551654075817561,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.8333333333333334,0.0,0.16666666666666669,0.8021388152469646,0.7355130399450901,0.5782972995643293,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.8571428571428572,0.0,0.14285714285714288,0.8021388152469646,0.7355130399450901,0.5948200795518817,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.875,0.0,0.12500000000000003,0.8021388152469646,0.7355130399450901,0.6072121645425458,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.888888888888889,0.0,0.11111111111111112,0.8021388152469646,0.7355130399450901,0.616850452868618,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.9,0.0,0.1,0.8021388152469646,0.7355130399450901,0.6245610835294757,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.9090909090909091,0.0,0.09090909090909091,0.8021388152469646,0.7355130399450901,0.6308697813429046,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.9166666666666666,0.0,0.08333333333333333,0.8021388152469646,0.7355130399450901,0.6361270295207622,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.923076923076923,0.0,0.07692307692307693,0.8021388152469646,0.7355130399450901,0.6405754702866416,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.9285714285714285,0.0,0.07142857142857142,0.8021388152469646,0.7355130399450901,0.6443884195145383,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.9333333333333332,0.0,0.06666666666666667,0.8021388152469646,0.7355130399450901,0.6476929755120487,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.9375,0.0,0.0625,0.8021388152469646,0.7355130399450901,0.6505844620098704,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.9411764705882353,0.0,0.058823529411764705,0.8021388152469646,0.7355130399450901,0.6531357736255954,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.9444444444444444,0.0,0.05555555555555556,0.8021388152469646,0.7355130399450901,0.6554036061729065,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.9473684210526315,0.0,0.05263157894736842,0.8021388152469646,0.7355130399450901,0.6574327195047112,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.95,0.0,0.05,0.8021388152469646,0.7355130399450901,0.6592589215033353,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.9523809523809523,0.0,0.047619047619047616,0.8021388152469646,0.7355130399450901,0.6609111995020905,0.9293293718166383,0.5326602603089649,0.6771824016082889,0.13180050907666918
0.9523809523809523,0.047619047619047616,0.0,0.801632620878737,0.7347314210550153,0.6605632727339277,0.916753165870874,0.5371609293273324,0.6774045098941556,0.1347374898604235
0.9090909090909091,0.045454545454545456,0.045454545454545456,0.801632620878737,0.7347314210550153,0.6305376694278401,0.916753165870874,0.5371609293273324,0.6774045098941556,0.1347374898604235
0.95,0.05,0.0,0.8015496646336385,0.7346120326137294,0.6614118645520929,0.916735880398671,0.5370392896241333,0.6773030605200583,0.1347095186148639
0.9047619047619047,0.047619047619047616,0.047619047619047616,0.8015496646336385,0.7346120326137294,0.6299160614781836,0.916735880398671,0.5370392896241333,0.6773030605200583,0.1347095186148639
0.9473684210526315,0.05263157894736842,0.0,0.8014606418679262,0.7345270849486718,0.662237102287556,0.916735880398671,0.5370392896241333,0.6773030605200583,0.1347095186148639
0.9,0.05,0.05,0.8014606418679262,0.7345270849486718,0.6291252471731782,0.916735880398671,0.5370392896241333,0.6773030605200583,0.1347095186148639
0.9444444444444444,0.05555555555555556,0.0,0.8013570382442208,0.7344380105771934,0.6633919121278117,0.9172729162336313,0.536796010217735,0.677255985267035,0.1345696623870661
0.894736842105263,0.05263157894736842,0.05263157894736842,0.8013570382442208,0.7344380105771934,0.628476548331611,0.9172729162336313,0.536796010217735,0.677255985267035,0.1345696623870661
0.9411764705882353,0.058823529411764705,0.0,0.8012283997291849,0.7342848150052744,0.6645566459958815,0.9172557172557173,0.5366743705145359,0.6771544777837465,0.13454169114150652
