mode,signal,roc_auc,average_precision,threshold,precision,recall,f1,predicted_positive_rate
all,Sdet_only,0.7983067210749735,0.730970236126466,0.61397585216719,0.9045185033735432,0.5381340469529254,0.6748017083587553,0.13680353546654733
all,Sont_only,0.5989584405456911,0.27653620678324226,1.0,0.3057016748291916,0.6150103393747719,0.4084006462035541,0.46260349071380624
all,Scal,0.7983067210749735,0.730970236126466,0.61397585216719,0.9045185033735432,0.5381340469529254,0.6748017083587553,0.13680353546654733
no_noisy,Sdet_only,0.7983067210749735,0.730970236126466,0.61397585216719,0.9045185033735432,0.5381340469529254,0.6748017083587553,0.13680353546654733
no_noisy,Sont_only,0.6230085927928173,0.40665382879860357,1.0,0.9327617328519856,0.25142926651258973,0.39609083069847656,0.0619825464309689
no_noisy,Scal,0.7982442730867052,0.7311920252334364,0.54174339897105,0.9041598694942904,0.5393504439849167,0.6756571428571428,0.13716715148802863
strict,Sdet_only,0.7983067210749735,0.730970236126466,0.61397585216719,0.9045185033735432,0.5381340469529254,0.6748017083587553,0.13680353546654733
strict,Sont_only,0.6230085927928173,0.40665382879860357,1.0,0.9327617328519856,0.25142926651258973,0.39609083069847656,0.0619825464309689
strict,Scal,0.7982442730867052,0.7311920252334364,0.54174339897105,0.9041598694942904,0.5393504439849167,0.6756571428571428,0.13716715148802863
strong_weighted,Sdet_only,0.7983067210749735,0.730970236126466,0.61397585216719,0.9045185033735432,0.5381340469529254,0.6748017083587553,0.13680353546654733
strong_weighted,Sont_only,0.6229439931015429,0.4108498541426536,0.2631578947368421,0.9327617328519856,0.25142926651258973,0.39609083069847656,0.0619825464309689
strong_weighted,Scal,0.7982410344864928,0.7312010528421008,0.40931723477812665,0.9038500712976166,0.5397153630945141,0.6758568164508758,0.137307003803983
