precision,recall,threshold
0.2299483937736878,1.0,0.0
0.2300277023812855,0.9999391801484004,0.0066281736101051
0.23003092076728274,0.9999391801484004,0.0066777703264838
0.23004057646564993,0.9999391801484004,0.0265585947879072
0.2300727679820879,0.9999391801484004,0.0268767398327735
0.23007598762926992,0.9999391801484004,0.0301664803285135
0.23009208721695076,0.9999391801484004,0.0321736816603035
0.23009530740486753,0.9999391801484004,0.0328940737049079
0.23009852768292,0.9999391801484004,0.0336544268702179
0.23009741350352705,0.9998783602968009,0.0336618265626005
0.23010063403641862,0.9998783602968009,0.034162585444482
0.2301038546594631,0.9998783602968009,0.0344662996982824
0.23010707537266428,0.9998783602968009,0.0350083619383036
0.230110296176026,0.9998783602968009,0.0360038917930988
0.23011673805324598,0.9998783602968009,0.0364810537236134
0.2301199591271119,0.9998783602968009,0.0375572916894058
0.23012318029115342,0.9998783602968009,0.0388687758906646
0.23012962288977856,0.9998783602968009,0.0393460490947488
0.23013284432436973,0.9998783602968009,0.0399220706373119
0.2301360658491517,0.9998783602968009,0.0401200263177446
0.23013928746412823,0.9998783602968009,0.0402933140387022
0.23014250916930312,0.9998783602968009,0.0407740367234461
0.2301457309646802,0.9998783602968009,0.0411636402638311
0.2301682860582981,0.9998783602968009,0.0414059732347654
0.23019940626225285,0.9998175404452013,0.0415361007198896
0.23018862640209492,0.9997567205936018,0.0422184163398745
0.23019184988096905,0.9997567205936018,0.0422258994874344
0.23019507345012533,0.9997567205936018,0.0422605959773753
0.23019829710956755,0.9997567205936018,0.0424794432705125
0.2302015208592995,0.9997567205936018,0.0434138491625716
0.23022408963585433,0.9997567205936018,0.0446645710401956
0.23022731410804073,0.9997567205936018,0.0453303625350853
0.230230538670551,0.9997567205936018,0.0454409406449391
0.23023376332338893,0.9997567205936018,0.0463135688420403
0.23023698806655835,0.9997567205936018,0.0466143830284314
0.23024021290006302,0.9997567205936018,0.046624321149122
0.23024343782390677,0.9997567205936018,0.0477989179958995
0.23024666283809336,0.9997567205936018,0.0481530461313559
0.23024988794262663,0.9997567205936018,0.0495851091545421
0.23025311313751032,0.9997567205936018,0.0498414417314599
0.23025633842274829,0.9997567205936018,0.0506983386276498
0.23025956379834428,0.9997567205936018,0.0513712099034093
0.23026278926430213,0.9997567205936018,0.0516842363640711
0.23026601482062561,0.9997567205936018,0.0519839308601674
0.23026924046731853,0.9997567205936018,0.0526913525793077
0.23027246620438468,0.9997567205936018,0.0527475318227919
0.23027569203182785,0.9997567205936018,0.0536052702253525
0.23027891794965188,0.9997567205936018,0.0545935394797272
0.23028214395786054,0.9997567205936018,0.054716350727646
0.2302853700564576,0.9997567205936018,0.0547321793929307
0.2302885962454469,0.9997567205936018,0.054912254801638
0.2304887455297665,0.9995742610388031,0.0555817600519152
0.23049197800964882,0.9995742610388031,0.0562167009496155
0.2304952105802,0.9995742610388031,0.0566310419954564
0.2304984432414238,0.9995742610388031,0.0566646813864855
0.23050167599332408,0.9995742610388031,0.0567078346677209
0.23051137479312184,0.9995742610388031,0.0567131340714762
0.2305146079077661,0.9995742610388031,0.0569474831637872
0.23051784111310591,0.9995742610388031,0.0569948161584831
0.2305210744091451,0.9995742610388031,0.0569953029803504
0.23052430779588745,0.9995742610388031,0.0576564905312952
0.2305275412733368,0.9995742610388031,0.0577085109251132
0.23053077484149695,0.9995742610388031,0.0584083799507126
0.23053400850037173,0.9995742610388031,0.0585749286661076
0.23053724224996494,0.9995742610388031,0.0586835733976884
0.23054047609028042,0.9995742610388031,0.0587693305469091
0.23054371002132196,0.9995742610388031,0.0590773357877397
0.23054694404309342,0.9995742610388031,0.0591224015834537
0.23055017815559858,0.9995742610388031,0.0595626763256245
0.23055341235884128,0.9995742610388031,0.0596107325985233
0.23054261825935693,0.9995134411872035,0.0596479466529779
0.23053182385702062,0.999452621335604,0.059688811871437
0.2305350579388906,0.999452621335604,0.0600007325510002
0.23053829211150237,0.999452621335604,0.0603095862527994
0.2305415263748597,0.999452621335604,0.060417931936662
0.23054476072896646,0.999452621335604,0.0605090858540112
0.23054799517382643,0.999452621335604,0.060696686137867
0.23055122970944344,0.999452621335604,0.0609396728410232
0.2305544643358213,0.999452621335604,0.0611327116205963
0.23055769905296386,0.999452621335604,0.0613349652426572
0.23056093386087492,0.999452621335604,0.0613399795078902
0.23056416875955832,0.999452621335604,0.0613433455333725
