false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,6.08198515995621e-05,0.9
0.0,0.0011555771803916798,0.8999792474792576
0.0,0.0013988565867899283,0.899977912196422
0.0,0.0014596764383894903,0.899976131819307
0.0,0.0015813161415886145,0.8999760205457376
0.0,0.001824595547986863,0.8999736838007746
0.0,0.001946235251185987,0.8999719034236598
0.0,0.002371974212382922,0.8999685652165701
0.0,0.002493613915582046,0.8999681201222913
0.0,0.002736893321980294,0.8999663397451767
0.0,0.0028585330251794184,0.8999657833773282
0.0,0.002980172728378543,0.8999654495566194
0.0,0.003101812431577667,0.8999653382830498
0.0,0.003284271986376353,0.8999647819152011
0.0,0.0034059116895754776,0.8999646706416317
0.0,0.00377083079917285,0.899963224085226
0.0,0.003892470502371974,0.8999622226230991
0.0,0.004196569760369784,0.8999614437081116
0.0,0.004379029315168471,0.8999602196988451
0.0,0.0044398491667680335,0.8999601084252754
0.0,0.004683128573166282,0.8999596633309971
0.0,0.004743948424765844,0.8999595520574272
0.0,0.0051088675343632164,0.89995866186887
0.0,0.006203624863155334,0.8999537658318045
0.0,0.006325264566354458,0.8999536545582351
0.0,0.006629363824352269,0.8999530981903865
0.0,0.0067510035275513925,0.8999528756432472
0.0,0.006811823379150955,0.899952319275399
0.0,0.0070551027855492035,0.8999520967282597
0.0,0.007176742488748327,0.8999518741811204
0.0,0.0074200218951465755,0.8999516516339812
0.0,0.007602481449945262,0.8999507614454237
0.0,0.0077241211531443865,0.8999504276247148
0.0,0.007906580707943072,0.8999499825304362
0.0,0.008028220411142198,0.8999496487097269
0.0,0.008210679965940883,0.8999495374361572
0.0,0.008453959372339132,0.8999487585211698
0.0,0.008514779223938694,0.8999486472476002
0.0,0.008636418927137818,0.899948313426891
0.0,0.008879698333536067,0.899947645785473
0.0,0.00900133803673519,0.8999475345119035
0.0,0.009244617443133438,0.8999474232383338
0.0,0.009791996107529498,0.8999460879554979
0.0,0.010035275513927746,0.8999457541347887
0.0,0.010096095365527307,0.899945642861219
0.0,0.010217735068726433,0.8999455315876496
0.0,0.010400194623525118,0.8999454203140799
0.0,0.010521834326724242,0.8999451977669406
0.0,0.010582654178323806,0.899945030856586
0.0,0.01070429388152293,0.8999449195830164
0.0,0.010765113733122491,0.8999443632151681
0.0,0.010947573287921177,0.8999442519415985
0.0,0.011069212991120302,0.89994369557375
0.0,0.011190852694319426,0.8999435843001803
0.0,0.011251672545918988,0.8999432504794714
0.0,0.011434132100717673,0.8999430279323319
0.0,0.011738231358715484,0.8999419151966354
0.0,0.011981510765113734,0.8999418039230657
0.0,0.012042330616713295,0.8999416926494961
0.0,0.012163970319912419,0.8999414701023568
0.0,0.012224790171511981,0.8999413588287871
0.0,0.012346429874711106,0.8999412475552172
0.0,0.012407249726310668,0.8999411362816475
0.0,0.012650529132708916,0.8999408024609389
0.0,0.012893808539107165,0.8999405799137993
0.0,0.013015448242306289,0.8999401348195207
0.0,0.013137087945505412,0.8999400235459512
0.0,0.013197907797104976,0.8999399122723815
0.0,0.0133195475003041,0.8999398009988118
0.0,0.013441187203503223,0.8999395784516726
0.0,0.013562826906702347,0.8999392446309634
0.0,0.013684466609901472,0.8999390220838241
0.0,0.013806106313100596,0.8999389108102546
0.0,0.01392774601629972,0.8999380206216973
0.0,0.014049385719498845,0.8999379093481276
0.0,0.014110205571098407,0.899937798074558
0.0,0.014414304829096216,0.8999376868009883
0.0,0.01447512468069578,0.8999369078860004
0.0,0.014718404087094027,0.8999366853388612
0.0,0.01477922393869359,0.8999364627917219
0.0,0.015022503345091838,0.8999362402445826
0.0,0.0150833231966914,0.8999360176974434
0.0,0.015204962899890524,0.8999359064238736
0.0,0.015387422454689211,0.8999357951503036
0.0,0.015448242306288773,0.8999356838767341
0.0,0.015569882009487897,0.8999355726031646
0.0,0.01569152171268702,0.8999353500560252
0.0,0.016056440822284395,0.8999349049617464
0.0,0.016117260673883957,0.8999347936881767
0.0,0.016360540080282204,0.8999345711410377
0.0,0.016482179783481328,0.899934459867468
0.0,0.01654299963508089,0.8999343485938983
0.0,0.016664639338280014,0.8999342373203286
0.0,0.016847098893078703,0.8999337922260499
0.0,0.017029558447877388,0.8999336809524802
0.0,0.017212018002676074,0.8999331245846318
0.0,0.017333657705875197,0.8999329020374927
0.0,0.01739447755747476,0.899932790763923
0.0,0.017576937112273445,0.8999326794903535
0.0,0.01769857681547257,0.8999324569432139
0.0,0.017759396667072134,0.8999323456696443
0.0,0.01794185622187082,0.8999322343960745
0.0,0.018063495925069943,0.8999321231225048
0.0,0.018124315776669505,0.8999319005753655
0.0,0.018367595183067752,0.8999316780282264
0.0,0.018550054737866438,0.899931455481087
0.0,0.018671694441065565,0.8999313442075173
0.0,0.019036613550662936,0.8999311216603779
0.0,0.019219073105461622,0.8999306765660992
0.0,0.019340712808660745,0.8999305652925296
0.0,0.019462352511859873,0.8999303427453902
0.0,0.019583992215058996,0.8999302314718206
0.0,0.019644812066658558,0.8999298976511116
0.0,0.019766451769857682,0.8999297863775421
0.0,0.019948911324656367,0.8999295638304026
0.0,0.020131370879455053,0.8999291187361239
0.0,0.020253010582654177,0.8999290074625544
0.0,0.020313830434253742,0.8999288961889848
0.0,0.02055710984065199,0.899928784915415
0.0,0.02061792969225155,0.8999285623682757
0.0,0.021226128208247173,0.8999278947268579
0.0,0.02177350687264323,0.8999274496325789
0.0,0.022016786279041477,0.899926781991161
0.0,0.022138425982240605,0.8999266707175914
0.0,0.02232088553703929,0.8999265594440218
0.0,0.022442525240238414,0.8999262256233128
0.0,0.0226249847950371,0.8999261143497432
0.0,0.022868264201435347,0.8999258918026036
0.0,0.022989903904634474,0.8999255579818947
0.0,0.023111543607833598,0.8999254467083252
0.0,0.02317236345943316,0.8999253354347554
0.0,0.023415642865831407,0.8999252241611857
0.0,0.02353728256903053,0.8999250016140463
0.0,0.023658922272229654,0.8999247790669072
0.0,0.023841381827028343,0.8999246677933376
0.0,0.023963021530227467,0.8999245565197679
0.0,0.024145481085026153,0.8999244452461982
0.0,0.024206300936625715,0.8999243339726285
0.0,0.024327940639824838,0.8999242226990588
0.0,0.024510400194623524,0.8999241114254891
0.0,0.02463203989782265,0.89992377760478
0.0,0.024692859749422213,0.8999236663312105
0.0,0.025057778859019584,0.8999234437840711
0.0,0.02530105826541783,0.8999229986897924
0.0,0.025422697968616955,0.899922887416223
0.0,0.025544337671816082,0.8999226648690837
0.0,0.025665977375015206,0.899922553595514
0.0,0.025726797226614768,0.8999222197748048
0.0,0.02584843692981389,0.8999221085012351
0.0,0.026213356039411263,0.8999215521333869
0.0,0.026334995742610386,0.8999214408598173
0.0,0.026517455297409075,0.8999213295862474
0.0,0.026821554555406885,0.8999212183126777
0.0,0.027064833961805132,0.8999211070391082
0.0,0.027186473665004256,0.8999209957655385
0.0,0.02724729351660382,0.899920884491969
0.0,0.02749057292300207,0.8999207732183994
0.0,0.02755139277460163,0.8999206619448294
0.0,0.027733852329400316,0.8999205506712598
0.0,0.02785549203259944,0.8999204393976902
0.0,0.027977131735798563,0.8999201055769812
0.0,0.02809877143899769,0.8999199943034116
0.0,0.028159591290597252,0.8999197717562722
0.0,0.028281230993796376,0.8999196604827026
0.0,0.028646150103393747,0.899919437935563
0.0,0.02876778980659287,0.8999192153884239
0.0,0.02901106921299112,0.8999189928412846
0.0,0.029193528767789807,0.8999187702941451
0.0,0.02925434861938937,0.8999186590205754
0.0,0.029436808174188055,0.899918547747006
0.0,0.02955844787738718,0.8999184364734363
0.0,0.02986254713538499,0.8999183251998666
0.0,0.030045006690183677,0.8999179913791575
0.0,0.0301666463933828,0.8999178801055879
0.0,0.030227466244982362,0.899917768832018
0.0,0.03047074565138061,0.8999176575584484
