w_det,w_ont,w_gen,roc_auc,average_precision,threshold,precision,recall,f1,predicted_positive_rate
0.0,1.0,0.0,1.0,1.0,0.65,1.0,1.0,1.0,0.2299483937736878
0.0,0.5,0.5,1.0,1.0,0.325,1.0,1.0,1.0,0.2299483937736878
0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.43333333333333335,1.0,1.0,1.0,0.2299483937736878
0.0,0.7499999999999999,0.25,1.0,1.0,0.48749999999999993,1.0,1.0,1.0,0.2299483937736878
0.0,0.8,0.2,1.0,1.0,0.52,1.0,1.0,1.0,0.2299483937736878
0.0,0.8333333333333334,0.16666666666666669,1.0,1.0,0.5416666666666667,1.0,1.0,1.0,0.2299483937736878
0.0,0.8571428571428572,0.14285714285714288,1.0,1.0,0.5571428571428572,1.0,1.0,1.0,0.2299483937736878
0.0,0.875,0.12500000000000003,1.0,1.0,0.56875,1.0,1.0,1.0,0.2299483937736878
0.0,0.888888888888889,0.11111111111111112,1.0,1.0,0.5777777777777778,1.0,1.0,1.0,0.2299483937736878
0.0,0.9,0.1,1.0,1.0,0.5850000000000001,1.0,1.0,1.0,0.2299483937736878
0.0,0.9090909090909091,0.09090909090909091,1.0,1.0,0.5909090909090909,1.0,1.0,1.0,0.2299483937736878
0.0,0.9166666666666666,0.08333333333333333,1.0,1.0,0.5958333333333333,1.0,1.0,1.0,0.2299483937736878
0.0,0.923076923076923,0.07692307692307693,1.0,1.0,0.6,1.0,1.0,1.0,0.2299483937736878
0.0,0.9285714285714285,0.07142857142857142,1.0,1.0,0.6035714285714285,1.0,1.0,1.0,0.2299483937736878
0.0,0.9333333333333332,0.06666666666666667,1.0,1.0,0.6066666666666666,1.0,1.0,1.0,0.2299483937736878
0.0,0.9375,0.0625,1.0,1.0,0.609375,1.0,1.0,1.0,0.2299483937736878
0.0,0.9411764705882353,0.058823529411764705,1.0,1.0,0.611764705882353,1.0,1.0,1.0,0.2299483937736878
0.0,0.9444444444444444,0.05555555555555556,1.0,1.0,0.6138888888888889,1.0,1.0,1.0,0.2299483937736878
0.0,0.9473684210526315,0.05263157894736842,1.0,1.0,0.6157894736842106,1.0,1.0,1.0,0.2299483937736878
0.0,0.95,0.05,1.0,1.0,0.6174999999999999,1.0,1.0,1.0,0.2299483937736878
0.0,0.9523809523809523,0.047619047619047616,1.0,1.0,0.6190476190476191,1.0,1.0,1.0,0.2299483937736878
0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,0.43333333333333335,1.0,1.0,1.0,0.2299483937736878
0.25,0.5,0.25,1.0,1.0,0.325,1.0,1.0,1.0,0.2299483937736878
0.25,0.7499999999999999,0.0,1.0,1.0,0.48749999999999993,1.0,1.0,1.0,0.2299483937736878
0.2,0.6,0.2,1.0,1.0,0.39,1.0,1.0,1.0,0.2299483937736878
0.2,0.8,0.0,1.0,1.0,0.52,1.0,1.0,1.0,0.2299483937736878
0.16666666666666669,0.6666666666666667,0.16666666666666669,1.0,1.0,0.4333333333333334,1.0,1.0,1.0,0.2299483937736878
0.16666666666666669,0.8333333333333334,0.0,1.0,1.0,0.5416666666666667,1.0,1.0,1.0,0.2299483937736878
0.14285714285714288,0.7142857142857143,0.14285714285714288,1.0,1.0,0.4642857142857143,1.0,1.0,1.0,0.2299483937736878
