variant,n_records,n_positive,n_negative,roc_auc,average_precision,threshold,precision,recall,f1,false_positive_rate,false_negative_rate,selection_strategy
detector_only,71503,16442,55061,0.8002188893877784,0.7332429325476619,0.485,0.8017560471722476,0.5664760977983214,0.6638868099362059,0.04182633806142279,0.43352390220167863,conservative_threshold_with_fpr_and_precision_constraints
no_ontology,71503,16442,55061,0.8002188893877784,0.7332429325476619,0.43650000000000005,0.8017560471722476,0.5664760977983214,0.6638868099362059,0.04182633806142279,0.43352390220167863,conservative_threshold_with_fpr_and_precision_constraints
generative_only,71503,16442,55061,0.5,0.2299483937736878,0.0,0.2299483937736878,1.0,0.37391551537893003,1.0,0.0,fallback_best_f1_threshold_constraints_not_met
