threshold,tp,fp,tn,fn,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,accuracy,predicted_positive_rate
0.0,16442,55061,0,0,0.2299483937736878,1.0,0.37391551537893003,0.0,1.0,0.0,0.2299483937736878,1.0
0.0025,16441,55033,28,1,0.2300277023812855,0.9999391801484004,0.3740161062832704,0.0005085269065218576,0.9994914730934782,6.08198515995621e-05,0.23032600030767938,0.9995944226116387
0.005,16441,55033,28,1,0.2300277023812855,0.9999391801484004,0.3740161062832704,0.0005085269065218576,0.9994914730934782,6.08198515995621e-05,0.23032600030767938,0.9995944226116387
0.0075,16441,55029,32,1,0.23004057646564993,0.9999391801484004,0.374033124033124,0.0005811736074535515,0.9994188263925464,6.08198515995621e-05,0.2303819420164189,0.9995384809028992
0.01,16441,55029,32,1,0.23004057646564993,0.9999391801484004,0.374033124033124,0.0005811736074535515,0.9994188263925464,6.08198515995621e-05,0.2303819420164189,0.9995384809028992
0.0125,16441,55029,32,1,0.23004057646564993,0.9999391801484004,0.374033124033124,0.0005811736074535515,0.9994188263925464,6.08198515995621e-05,0.2303819420164189,0.9995384809028992
0.015,16441,55029,32,1,0.23004057646564993,0.9999391801484004,0.374033124033124,0.0005811736074535515,0.9994188263925464,6.08198515995621e-05,0.2303819420164189,0.9995384809028992
0.0175,16441,55029,32,1,0.23004057646564993,0.9999391801484004,0.374033124033124,0.0005811736074535515,0.9994188263925464,6.08198515995621e-05,0.2303819420164189,0.9995384809028992
0.02,16441,55029,32,1,0.23004057646564993,0.9999391801484004,0.374033124033124,0.0005811736074535515,0.9994188263925464,6.08198515995621e-05,0.2303819420164189,0.9995384809028992
0.0225,16441,55029,32,1,0.23004057646564993,0.9999391801484004,0.374033124033124,0.0005811736074535515,0.9994188263925464,6.08198515995621e-05,0.2303819420164189,0.9995384809028992
0.025,16441,55029,32,1,0.23004057646564993,0.9999391801484004,0.374033124033124,0.0005811736074535515,0.9994188263925464,6.08198515995621e-05,0.2303819420164189,0.9995384809028992
0.0275,16441,55029,32,1,0.23004057646564993,0.9999391801484004,0.374033124033124,0.0005811736074535515,0.9994188263925464,6.08198515995621e-05,0.2303819420164189,0.9995384809028992
0.03,16441,55018,43,1,0.23007598762926992,0.9999391801484004,0.3740799308312761,0.0007809520350157099,0.9992190479649843,6.08198515995621e-05,0.2305357817154525,0.9993846412038656
0.0325,16441,55018,43,1,0.23007598762926992,0.9999391801484004,0.3740799308312761,0.0007809520350157099,0.9992190479649843,6.08198515995621e-05,0.2305357817154525,0.9993846412038656
0.035,16441,55013,48,1,0.23009208721695076,0.9999391801484004,0.3741012105215254,0.0008717604111803273,0.9991282395888197,6.08198515995621e-05,0.23060570885137688,0.9993147140679413
0.0375,16440,55007,54,2,0.23010063403641862,0.9998783602968009,0.37410825017920335,0.0009807304625778681,0.9990192695374221,0.0001216397031991242,0.23067563598730123,0.9992168160776471
0.04,16440,55004,57,2,0.230110296176026,0.9998783602968009,0.37412102041280754,0.0010352154882766387,0.9989647845117233,0.0001216397031991242,0.23071759226885585,0.9991748597960924
0.0425,16440,55000,61,2,0.23012318029115342,0.9998783602968009,0.37413804874718376,0.0011078621892083326,0.9988921378107917,0.0001216397031991242,0.23077353397759534,0.999118918087353
0.045,16440,54994,67,2,0.23014250916930312,0.9998783602968009,0.37416359415540074,0.0012168322406058735,0.9987831677593941,0.0001216397031991242,0.2308574465407046,0.9990350055242437
0.0475,16438,54969,92,4,0.2302015208592995,0.9997567205936018,0.3742330589989641,0.0016708741214289606,0.998329125878571,0.0002432794063982484,0.23117911136595667,0.9986573989902522
0.05,16438,54961,100,4,0.23022731410804073,0.9997567205936018,0.3742671417675118,0.0018161675232923485,0.9981838324767076,0.0002432794063982484,0.23129099478343565,0.9985455155727732
0.0525,16438,54956,105,4,0.23024343782390677,0.9997567205936018,0.3742884466505761,0.001906975899456966,0.998093024100543,0.0002432794063982484,0.23136092191936003,0.9984755884368488
0.055,16438,54954,107,4,0.23024988794262663,0.9997567205936018,0.3742969692829656,0.0019432992499228128,0.9980567007500772,0.0002432794063982484,0.2313888927737298,0.998447617582479
