precision,recall,threshold
0.2299483937736878,1.0,0.0
0.2300277023812855,0.9999391801484004,0.0073646373445613
0.23003092076728274,0.9999391801484004,0.0074197448072043
0.23004057646564993,0.9999391801484004,0.0295095497643414
0.2300727679820879,0.9999391801484004,0.0298630442586373
0.23007598762926992,0.9999391801484004,0.0335183114761262
0.23009208721695076,0.9999391801484004,0.0357485351781151
0.23009530740486753,0.9999391801484004,0.036548970783231
0.23009852768292,0.9999391801484004,0.0373938076335755
0.23009741350352705,0.9998783602968009,0.0374020295140006
0.23010063403641862,0.9998783602968009,0.0379584282716467
0.2301038546594631,0.9998783602968009,0.0382958885536472
0.23010707537266428,0.9998783602968009,0.0388981799314485
0.230110296176026,0.9998783602968009,0.0400043242145543
0.23011673805324598,0.9998783602968009,0.0405345041373483
0.2301199591271119,0.9998783602968009,0.0417303240993398
0.23012318029115342,0.9998783602968009,0.0431875287674052
0.23012962288977856,0.9998783602968009,0.0437178323274987
0.23013284432436973,0.9998783602968009,0.0443578562636799
0.2301360658491517,0.9998783602968009,0.0445778070197163
0.23013928746412823,0.9998783602968009,0.0447703489318914
0.23014250916930312,0.9998783602968009,0.0453044852482735
0.2301457309646802,0.9998783602968009,0.0457373780709235
0.2301682860582981,0.9998783602968009,0.0460066369275172
0.23019940626225285,0.9998175404452013,0.0461512230220996
0.23018862640209492,0.9997567205936018,0.0469093514887495
0.23019184988096905,0.9997567205936018,0.0469176660971494
0.23019507345012533,0.9997567205936018,0.0469562177526393
0.23019829710956755,0.9997567205936018,0.0471993814116806
0.2302015208592995,0.9997567205936018,0.0482376101806352
0.23022408963585433,0.9997567205936018,0.0496273011557729
0.23022731410804073,0.9997567205936018,0.0503670694834282
0.230230538670551,0.9997567205936018,0.0504899340499324
0.23023376332338893,0.9997567205936018,0.0514595209356004
0.23023698806655835,0.9997567205936018,0.0517937589204794
0.23024021290006302,0.9997567205936018,0.0518048012768023
0.23024343782390677,0.9997567205936018,0.0531099088843328
0.23024666283809336,0.9997567205936018,0.0535033845903955
0.23024988794262663,0.9997567205936018,0.0550945657272691
0.23025311313751032,0.9997567205936018,0.0553793797016222
0.23025633842274829,0.9997567205936018,0.0563314873640554
0.23025956379834428,0.9997567205936018,0.0570791221148993
0.23026278926430213,0.9997567205936018,0.0574269292934124
0.23026601482062561,0.9997567205936018,0.0577599231779638
0.23026924046731853,0.9997567205936018,0.0585459473103419
0.23027246620438468,0.9997567205936018,0.0586083686919911
0.23027569203182785,0.9997567205936018,0.0595614113615028
0.23027891794965188,0.9997567205936018,0.060659488310808
0.23028214395786054,0.9997567205936018,0.06079594525294
0.2302853700564576,0.9997567205936018,0.0608135326588119
0.2302885962454469,0.9997567205936018,0.0610136164462645
0.2304887455297665,0.9995742610388031,0.0617575111687947
0.23049197800964882,0.9995742610388031,0.0624630010551284
0.2304952105802,0.9995742610388031,0.0629233799949516
0.2304984432414238,0.9995742610388031,0.0629607570960951
0.23050167599332408,0.9995742610388031,0.0630087051863566
0.23051137479312184,0.9995742610388031,0.0630145934127514
0.2305146079077661,0.9995742610388031,0.0632749812930969
0.23051784111310591,0.9995742610388031,0.0633275735094257
0.2305210744091451,0.9995742610388031,0.0633281144226116
0.23052430779588745,0.9995742610388031,0.0640627672569947
0.2305275412733368,0.9995742610388031,0.0641205676945703
0.23053077484149695,0.9995742610388031,0.0648981999452363
0.23053400850037173,0.9995742610388031,0.0650832540734529
0.23053724224996494,0.9995742610388031,0.0652039704418761
