false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,6.08198515995621e-05,1.0
0.0,0.0011555771803916798,0.9999769416436196
0.0,0.0013988565867899283,0.9999754579960244
0.0,0.0014596764383894903,0.99997347979923
0.0,0.0015813161415886145,0.9999733561619306
0.0,0.001824595547986863,0.9999707597786384
0.0,0.001946235251185987,0.9999687815818442
0.0,0.002371974212382922,0.9999650724628556
0.0,0.002493613915582046,0.999964577913657
0.0,0.002736893321980294,0.999962599716863
0.0,0.0028585330251794184,0.9999619815303648
0.0,0.002980172728378543,0.999961610618466
0.0,0.003101812431577667,0.9999614869811664
0.0,0.003284271986376353,0.999960868794668
0.0,0.0034059116895754776,0.9999607451573684
0.0,0.00377083079917285,0.9999591378724734
0.0,0.003892470502371974,0.9999580251367768
0.0,0.004196569760369784,0.9999571596756796
0.0,0.004379029315168471,0.9999557996653834
0.0,0.0044398491667680335,0.9999556760280838
0.0,0.004683128573166282,0.9999551814788856
0.0,0.004743948424765844,0.9999550578415858
0.0,0.0051088675343632164,0.9999540687431888
0.0,0.006203624863155334,0.999948628702005
0.0,0.006325264566354458,0.9999485050647056
0.0,0.006629363824352269,0.9999478868782072
0.0,0.0067510035275513925,0.999947639603608
0.0,0.006811823379150955,0.99994702141711
0.0,0.0070551027855492035,0.9999467741425108
0.0,0.007176742488748327,0.9999465268679116
0.0,0.0074200218951465755,0.9999462795933124
0.0,0.007602481449945262,0.9999452904949152
0.0,0.0077241211531443865,0.9999449195830163
0.0,0.007906580707943072,0.999944425033818
0.0,0.008028220411142198,0.9999440541219188
0.0,0.008210679965940883,0.9999439304846192
0.0,0.008453959372339132,0.999943065023522
0.0,0.008514779223938694,0.9999429413862224
0.0,0.008636418927137818,0.9999425704743232
0.0,0.008879698333536067,0.9999418286505256
0.0,0.00900133803673519,0.999941705013226
0.0,0.009244617443133438,0.9999415813759264
0.0,0.009791996107529498,0.999940097728331
0.0,0.010035275513927746,0.9999397268164318
0.0,0.010096095365527307,0.9999396031791322
0.0,0.010217735068726433,0.9999394795418328
0.0,0.010400194623525118,0.9999393559045332
0.0,0.010521834326724242,0.999939108629934
0.0,0.010582654178323806,0.9999389231739844
0.0,0.01070429388152293,0.9999387995366849
0.0,0.010765113733122491,0.9999381813501867
0.0,0.010947573287921177,0.9999380577128872
0.0,0.011069212991120302,0.9999374395263888
0.0,0.011190852694319426,0.9999373158890892
0.0,0.011251672545918988,0.9999369449771904
0.0,0.011434132100717673,0.999936697702591
0.0,0.011738231358715484,0.9999354613295948
0.0,0.011981510765113734,0.9999353376922951
0.0,0.012042330616713295,0.9999352140549956
0.0,0.012163970319912419,0.9999349667803964
0.0,0.012224790171511981,0.9999348431430968
0.0,0.012346429874711106,0.9999347195057968
0.0,0.012407249726310668,0.9999345958684972
0.0,0.012650529132708916,0.9999342249565988
0.0,0.012893808539107165,0.9999339776819992
0.0,0.013015448242306289,0.9999334831328008
0.0,0.013137087945505412,0.9999333594955012
0.0,0.013197907797104976,0.9999332358582016
0.0,0.0133195475003041,0.999933112220902
0.0,0.013441187203503223,0.9999328649463028
0.0,0.013562826906702347,0.9999324940344038
0.0,0.013684466609901472,0.9999322467598046
0.0,0.013806106313100596,0.999932123122505
0.0,0.01392774601629972,0.999931134024108
0.0,0.014049385719498845,0.9999310103868084
0.0,0.014110205571098407,0.9999308867495088
0.0,0.014414304829096216,0.9999307631122092
0.0,0.01447512468069578,0.9999298976511116
0.0,0.014718404087094027,0.9999296503765124
0.0,0.01477922393869359,0.9999294031019133
0.0,0.015022503345091838,0.999929155827314
0.0,0.0150833231966914,0.9999289085527148
0.0,0.015204962899890524,0.999928784915415
0.0,0.015387422454689211,0.9999286612781152
0.0,0.015448242306288773,0.9999285376408156
0.0,0.015569882009487897,0.9999284140035162
0.0,0.01569152171268702,0.9999281667289168
0.0,0.016056440822284395,0.9999276721797182
0.0,0.016117260673883957,0.9999275485424186
0.0,0.016360540080282204,0.9999273012678196
0.0,0.016482179783481328,0.99992717763052
0.0,0.01654299963508089,0.9999270539932203
0.0,0.016664639338280014,0.9999269303559206
0.0,0.016847098893078703,0.999926435806722
0.0,0.017029558447877388,0.9999263121694224
0.0,0.017212018002676074,0.9999256939829242
0.0,0.017333657705875197,0.9999254467083252
0.0,0.01739447755747476,0.9999253230710254
0.0,0.017576937112273445,0.999925199433726
0.0,0.01769857681547257,0.9999249521591266
0.0,0.017759396667072134,0.999924828521827
0.0,0.01794185622187082,0.9999247048845272
0.0,0.018063495925069943,0.9999245812472276
0.0,0.018124315776669505,0.9999243339726284
0.0,0.018367595183067752,0.9999240866980292
0.0,0.018550054737866438,0.99992383942343
0.0,0.018671694441065565,0.9999237157861304
0.0,0.019036613550662936,0.999923468511531
0.0,0.019219073105461622,0.9999229739623324
0.0,0.019340712808660745,0.9999228503250328
0.0,0.019462352511859873,0.9999226030504336
0.0,0.019583992215058996,0.999922479413134
0.0,0.019644812066658558,0.9999221085012352
0.0,0.019766451769857682,0.9999219848639356
0.0,0.019948911324656367,0.9999217375893362
0.0,0.020131370879455053,0.9999212430401376
0.0,0.020253010582654177,0.9999211194028382
0.0,0.020313830434253742,0.9999209957655386
0.0,0.02055710984065199,0.9999208721282388
0.0,0.02061792969225155,0.9999206248536396
0.0,0.021226128208247173,0.999919883029842
0.0,0.02177350687264323,0.9999193884806432
0.0,0.022016786279041477,0.9999186466568456
0.0,0.022138425982240605,0.999918523019546
0.0,0.02232088553703929,0.9999183993822464
0.0,0.022442525240238414,0.9999180284703476
