y_true,detector_only,generative_only,no_ontology
0,0.3272633343503789,0.0,0.294537000915341
0,0.3658134443740528,0.0,0.3292320999366475
0,0.3628157344072984,0.0,0.32653416096656857
0,0.1836049213363476,0.0,0.16524442920271284
0,0.4765722192319597,0.0,0.42891499730876376
0,0.1702853050462524,0.0,0.15325677454162714
0,0.3697422050256476,0.0,0.3327679845230828
0,0.4879599563513969,0.0,0.4391639607162572
0,0.2281005945524556,0.0,0.20529053509721004
0,0.3641969794094055,0.0,0.32777728146846496
0,0.193290682843783,0.0,0.1739616145594047
0,0.2589930429677867,0.0,0.23309373867100802
0,0.3160170383017149,0.0,0.28441533447154344
0,0.245761564617663,0.0,0.22118540815589668
0,0.2215617268684368,0.0,0.19940555418159314
0,0.3401744993664941,0.0,0.3061570494298447
0,0.2003212406137556,0.0,0.18028911655238006
0,0.2392106422969306,0.0,0.21528957806723753
0,0.2517130314911543,0.0,0.2265417283420389
0,0.1818423016288789,0.0,0.163658071465991
0,0.1362390236640632,0.0,0.12261512129765689
0,0.4114038949690322,0.0,0.370263505472129
0,0.3431568164894448,0.0,0.3088411348405003
0,0.1850156692890781,0.0,0.16651410236017028
0,0.3027467069301836,0.0,0.2724720362371652
0,0.1675178540953908,0.0,0.1507660686858517
0,0.2042026636342558,0.0,0.1837823972708302
0,0.4024355234380195,0.0,0.3621919710942176
0,0.2087780009989121,0.0,0.1879002008990209
0,0.2844347246637905,0.0,0.2559912521974115
0,0.2175929077317628,0.0,0.1958336169585865
0,0.1054471541919786,0.0,0.09490243877278075
0,0.383662404953343,0.0,0.3452961644580087
0,0.2208143239375296,0.0,0.19873289154377663
0,0.2749906586224633,0.0,0.24749159276021698
0,0.214521618117068,0.0,0.1930694563053612
0,0.4465439646316959,0.0,0.4018895681685263
0,0.1987569351348885,0.0,0.17888124162139968
0,0.2042873242751753,0.0,0.18385859184765777
0,0.2005550232926877,0.0,0.18049952096341895
0,0.3852700298510669,0.0,0.3467430268659602
0,0.164576816375853,0.0,0.1481191347382677
0,0.1045739966726884,0.0,0.09411659700541955
0,0.1561410588769707,0.0,0.14052695298927362
0,0.1952285893327979,0.0,0.17570573039951812
0,0.1044795686850983,0.0,0.09403161181658848
0,0.237266198485698,0.0,0.2135395786371282
0,0.2292362031495288,0.0,0.20631258283457593
0,0.2709000567456568,0.0,0.24381005107109113
0,0.2378586375161854,0.0,0.21407277376456688
0,0.1670191321380207,0.0,0.15031721892421862
0,0.4611795608843576,0.0,0.4150616047959218
0,0.358545487534134,0.0,0.32269093878072064
0,0.2579803298465425,0.0,0.23218229686188827
0,0.1867014484148287,0.0,0.16803130357334584
0,0.1534088136471778,0.0,0.13806793228246
0,0.0937308509487829,0.0,0.08435776585390461
0,0.3248650798308657,0.0,0.29237857184777916
0,0.146994541451858,0.0,0.1322950873066722
0,0.1595597229396298,0.0,0.14360375064566683
0,0.3589457323823513,0.0,0.32305115914411614
0,0.1577826067587797,0.0,0.14200434608290174
0,0.2234360992401058,0.0,0.20109248931609522
0,0.1341720398342378,0.0,0.12075483585081404
0,0.2019888759657859,0.0,0.18178998836920732
0,0.2955433505793199,0.0,0.26598901552138793
0,0.3377202680595748,0.0,0.3039482412536173
0,0.2578622871347237,0.0,0.23207605842125134
0,0.5553970559718033,0.0,0.49985735037462303
0,0.3740706850669362,0.0,0.3366636165602426
0,0.2958636639133284,0.0,0.2662772975219956
0,0.2805915210235376,0.0,0.25253236892118386
0,0.2080046033257583,0.0,0.18720414299318247
0,0.1131835727601837,0.0,0.10186521548416534
0,0.3918106902759302,0.0,0.3526296212483372
0,0.4000185069582879,0.0,0.3600166562624591
0,0.2931366578141072,0.0,0.2638229920326965
0,0.291640801035246,0.0,0.26247672093172136
0,0.208019625257663,0.0,0.1872176627318967
0,0.2873120428100332,0.0,0.2585808385290299
0,0.2126648640605958,0.0,0.1913983776545362
0,0.1881119336382975,0.0,0.16930074027446776
0,0.2151335763862339,0.0,0.1936202187476105
0,0.1841341198880757,0.0,0.16572070789926815
0,0.4669117260976356,0.0,0.420220553487872
0,0.1161189077092762,0.0,0.10450701693834859
0,0.2161184556603995,0.0,0.19450661009435954
0,0.1396302557008675,0.0,0.12566723013078077
0,0.2828070396142022,0.0,0.254526335652782
0,0.2933857560635306,0.0,0.26404718045717757
0,0.2439162779207312,0.0,0.21952465012865807
0,0.3255515759370442,0.0,0.2929964183433398
0,0.0709129922981302,0.0,0.06382169306831718
0,0.3421335632884075,0.0,0.30792020695956673
0,0.1889504572590298,0.0,0.17005541153312684
0,0.2848068729356676,0.0,0.25632618564210086
0,0.2169327772797297,0.0,0.19523949955175673
0,0.2034569143522311,0.0,0.183111222917008
0,0.1274974647592161,0.0,0.1147477182832945
0,0.2657331303569482,0.0,0.23915981732125335
0,0.3042998695974219,0.0,0.2738698826376797
0,0.2291125658499019,0.0,0.2062013092649117
0,0.1213445618153077,0.0,0.10921010563377694
0,0.1663892310057465,0.0,0.14975030790517185
0,0.2985662825551982,0.0,0.26870965429967836
0,0.4056088292795689,0.0,0.36504794635161203
0,0.1021606584026207,0.0,0.09194459256235864
0,0.4161056669272194,0.0,0.37449510023449745
0,0.2309691344504246,0.0,0.20787222100538216
0,0.1604931381878256,0.0,0.14444382436904304
0,0.4779959027371637,0.0,0.4301963124634473
0,0.3765558566080871,0.0,0.3389002709472784
0,0.3971281759862596,0.0,0.35741535838763366
0,0.1705924819171755,0.0,0.15353323372545793
0,0.2803836867228647,0.0,0.2523453180505782
0,0.207060369813845,0.0,0.18635433283246053
0,0.3300295334735819,0.0,0.2970265801262237
0,0.2870078332343012,0.0,0.25830704991087106
0,0.1347879854063167,0.0,0.12130918686568504
0,0.1752115868858997,0.0,0.15769042819730972
0,0.269259915238131,0.0,0.2423339237143179
0,0.1261364499102605,0.0,0.11352280491923444
0,0.2945674195547149,0.0,0.2651106775992434
0,0.2299539176738631,0.0,0.20695852590647681
0,0.0946483324399894,0.0,0.08518349919599046
0,0.4553020291160432,0.0,0.4097718262044389
0,0.179568240776841,0.0,0.1616114166991569
0,0.1174702943035233,0.0,0.10572326487317098
0,0.196458347733537,0.0,0.1768125129601833
0,0.366019825936455,0.0,0.3294178433428095
0,0.1369985894143212,0.0,0.12329873047288907
0,0.3184936479598667,0.0,0.28664428316388
0,0.2197540568199164,0.0,0.19777865113792475
0,0.1723963810280572,0.0,0.1551567429252515
0,0.1063597520098498,0.0,0.09572377680886482
0,0.3898669573791705,0.0,0.35088026164125347
0,0.3776944943190013,0.0,0.3399250448871012
0,0.2133043007196038,0.0,0.19197387064764343
0,0.1789742717347707,0.0,0.16107684456129365
0,0.1390937316391365,0.0,0.12518435847522286
0,0.7730129216046407,0.0,0.6957116294441766
0,0.2934924859624335,0.0,0.26414323736619016
0,0.2099620445081141,0.0,0.1889658400573027
0,0.2554085812863279,0.0,0.2298677231576951
0,0.268824804671419,0.0,0.2419423242042771
0,0.263206293045823,0.0,0.2368856637412407
0,0.2250184712193809,0.0,0.2025166240974428
0,0.3005488684733656,0.0,0.27049398162602906
0,0.4010244509373774,0.0,0.36092200584363965
0,0.1788357206858763,0.0,0.16095214861728868
0,0.1617801252036296,0.0,0.14560211268326664
0,0.265033652334309,0.0,0.2385302871008781
0,0.3570717309225812,0.0,0.3213645578303231
0,0.3333014091522588,0.0,0.29997126823703296
0,0.1705874591518782,0.0,0.15352871323669037
0,0.578226745166564,0.0,0.5204040706499077
0,0.9913700546673913,0.0,0.8922330492006522
0,0.4402864027136532,0.0,0.3962577624422879
0,0.1065538162062768,0.0,0.09589843458564912
0,0.2341251001607014,0.0,0.21071259014463126
0,0.3237712915503912,0.0,0.2913941623953521
0,0.3265798982673661,0.0,0.2939219084406295
0,0.2052818627133742,0.0,0.18475367644203677
0,0.2522258171913569,0.0,0.2270032354722212
0,0.2836576024169856,0.0,0.25529184217528705
0,0.3817207429813519,0.0,0.3435486686832167
0,0.2458053631310559,0.0,0.2212248268179503
0,0.2442584132381239,0.0,0.2198325719143115
0,0.2717359067097847,0.0,0.24456231603880624
0,0.3522504944236294,0.0,0.31702544498126645
0,0.244889025284871,0.0,0.2204001227563839
0,0.2199387554908966,0.0,0.19794487994180693
0,0.2417146685262746,0.0,0.21754320167364716
0,0.3425631101766364,0.0,0.30830679915897274
0,0.1371006210958383,0.0,0.12339055898625446
0,0.218839573533226,0.0,0.1969556161799034
0,0.2119240293612314,0.0,0.19073162642510827
0,0.2428843391993952,0.0,0.2185959052794557
0,0.1618901005816478,0.0,0.145701090523483
0,0.3288432335836615,0.0,0.29595891022529536
0,0.4066440443893451,0.0,0.3659796399504106
0,0.3023177164098031,0.0,0.2720859447688228
0,0.2308920156847823,0.0,0.20780281411630408
0,0.315118596954651,0.0,0.2836067372591859
0,0.179369710182965,0.0,0.1614327391646685
0,0.0916566807009168,0.0,0.08249101263082512
0,0.1611152192608984,0.0,0.14500369733480856
0,0.1850356830769552,0.0,0.1665321147692597
0,0.1074789786647225,0.0,0.09673108079825025
0,0.3508523729301232,0.0,0.3157671356371109
0,0.2900559563099784,0.0,0.2610503606789806
0,0.2323464848775934,0.0,0.20911183638983408
0,0.3145282597582574,0.0,0.28307543378243166
0,0.1747274541298856,0.0,0.15725470871689706
0,0.2809898804029355,0.0,0.25289089236264195
0,0.2212820283873557,0.0,0.19915382554862013
0,0.2065369513058745,0.0,0.18588325617528703
0,0.3506445695387752,0.0,0.3155801125848977
0,0.1753108830921626,0.0,0.15777979478294635
0,0.4181324840893284,0.0,0.37631923568039555
0,0.1606534803107793,0.0,0.14458813227970138
0,0.3269710248647359,0.0,0.29427392237826233
0,0.2198917424077135,0.0,0.19790256816694216
0,0.2268806034983869,0.0,0.2041925431485482
0,0.2750645009996655,0.0,0.24755805089969896
0,0.1914125549891379,0.0,0.1722712994902241
0,0.2022699344571629,0.0,0.1820429410114466
0,0.269917418397547,0.0,0.24292567655779232
0,0.2484111428579928,0.0,0.22357002857219352
0,0.13208022036185,0.0,0.118872198325665
0,0.2420256472441612,0.0,0.21782308251974508
0,0.2036675150374831,0.0,0.18330076353373478
0,0.2018985125544211,0.0,0.181708661298979
0,0.2613105932399684,0.0,0.23517953391597157
0,0.2556056282326083,0.0,0.23004506540934747
0,0.2038811757459008,0.0,0.18349305817131073
0,0.2884113947689908,0.0,0.2595702552920917
0,0.2731333791074677,0.0,0.24582004119672093
0,0.1796100610934397,0.0,0.16164905498409574
0,0.1419133266211158,0.0,0.12772199395900422
0,0.39518935767216,0.0,0.355670421904944
0,0.1620707655857275,0.0,0.14586368902715474
0,0.1597930110693633,0.0,0.14381370996242698
0,0.215403801159231,0.0,0.1938634210433079
0,0.2439005141650288,0.0,0.21951046274852593
0,0.2519558551476215,0.0,0.22676026963285933
0,0.2863219862239456,0.0,0.25768978760155103
0,0.3574795485554005,0.0,0.32173159369986043
0,0.2707532374523499,0.0,0.24367791370711492
0,0.2617487020111964,0.0,0.23557383181007674
0,0.3301474834574259,0.0,0.2971327351116833
