variant,n,positive_rate,threshold,roc_auc,average_precision,precision,recall,f1
no_generative,71503,0.2299483937736878,0.24512451734793714,0.8010130451440505,0.7333890524530953,0.6201192069091351,0.6201192069091351,0.6201192069091351
Svae_norm,71503,0.2299483937736878,0.2790676653305847,0.8010063579538144,0.7337149111178207,0.6208490451283298,0.6208490451283298,0.6208490451283298
vae_replacement_slot,71503,0.2299483937736878,0.23992226832712413,0.8009840507508386,0.7332209517967033,0.6198151076511373,0.6198151076511373,0.6198151076511373
full_model_conservative,71503,0.2299483937736878,0.23784043733044172,0.800971955486041,0.7331705614367396,0.6195718282447391,0.6195718282447391,0.6195718282447391
Sdet_norm,71503,0.2299483937736878,0.38320724534350087,0.8002188893877784,0.7332429325476619,0.6196326480963387,0.6196326480963387,0.6196326480963387
no_ontology,71503,0.2299483937736878,0.38320724534350087,0.8002188893877784,0.7332429325476619,0.6196326480963387,0.6196326480963387,0.6196326480963387
detector_only,71503,0.2299483937736878,0.38320724534350087,0.8002188893877784,0.7332429325476619,0.6196326480963387,0.6196326480963387,0.6196326480963387
Sont_norm,71503,0.2299483937736878,0.048780487804878,0.6578324121023685,0.4756130901846937,0.3051254023197911,0.6111786887239995,0.4070398574206092
ontology_only,71503,0.2299483937736878,0.048780487804878,0.6578324121023685,0.4756130901846937,0.3051254023197911,0.6111786887239995,0.4070398574206092
